# local star id, UCAC4 id, mag, mag err
# K star: 7316,UCAC4 154-058521,12.229,0.04000
8161,UCAC4 154-058497,11.979,0.01000
8989,UCAC4 153-060749,12.229,0.00000
7146,UCAC4 154-058696,12.243,0.01000
8202,UCAC4 154-058612,12.334,0.03000
8057,UCAC4 154-059201,12.334,0.01000
7105,UCAC4 154-058661,12.419,0.02000
7293,UCAC4 154-059907,12.464,0.01000
7707,UCAC4 154-059189,12.547,0.01000
7887,UCAC4 154-059438,12.678,0.01000
