# resultdir: /home/josch/data/txcar/result/2019/, vastdir: /home/josch/data/txcar/vast/2019/, vsx stars: 0, other stars: 60
# our_name,ucac4_name,ucac4_ra,ucac4_dec,minmax,min,max,var_type,period,period_err,epoch
RMH-HMB136,UCAC4 155-061145,165.0243306,-59.1099886,13.01-13.13,13.0,13.1,BY?,1.63867,,2458566.4
RMH-HMB137,UCAC4 154-059101,164.5350575,-59.2847464,13.06-13.18,13.1,13.2,L,-1,,
RMH-HMB138,UCAC4 154-059679,164.7551786,-59.2098886,13.32-13.58,13.3,13.6,EW,4.05734,,2458568.3
RMH-HMB139,UCAC4 153-061562,164.9126969,-59.4133633,13.34-13.46,13.3,13.4,BY?,4.60087,,2458566.2
RMH-HMB140,UCAC4 157-055591,164.0803975,-58.7956764,13.41-13.51,13.4,13.5,L,-1,,
RMH-HMB141,UCAC4 155-061527,165.2277514,-59.0342639,13.50-13.59,13.5,13.6,?,1.12891,,2458566.49
RMH-HMB142,UCAC4 155-061740,165.3510811,-59.1119858,13.95-14.17,13.9,14.2,?,1.11747,,2458565.65
RMH-HMB143,UCAC4 155-061801,165.3808844,-59.1437275,14.27-14.42,14.3,14.4,L,-1,,
RMH-HMB144,UCAC4 156-058123,165.2881233,-58.8398256,14.41-14.62,14.4,14.6,L,-1,,
RMH-HMB145,UCAC4 154-060778,165.2127308,-59.3214383,14.87-15.17,14.9,15.2,L,-1,,
