# resultdir: /home/josch/data/txcar/result/2019/, vastdir: /home/josch/data/txcar/vast/2019/, vsx stars: 0, other stars: 60
# our_name,ra,dec,ucac4_name,ucac4_force,minmax,min,max,var_type,period,period_err,epoch
RMH-HMB134,164.4611332,-59.0697421,UCAC4 155-059897,False,11.84-11.91,11.8,11.9,?,19.87281,,2458575.0
RMH-HMB135,165.0325038,-59.3980680,UCAC4 154-060370,False,12.52-12.64,12.5,12.6,?,0.19932,,2458566.43
RMH-HMB136,165.0252320,-59.1097493,UCAC4 155-061145,False,13.01-13.13,13.0,13.1,BY?,1.63867,,2458566.4
RMH-HMB137,164.5366215,-59.2834516,UCAC4 154-059101,False,13.06-13.18,13.1,13.2,L,-1,,
RMH-HMB138,164.7562176,-59.2088562,UCAC4 154-059679,False,13.32-13.58,13.3,13.6,EW,4.05734,,2458568.3
RMH-HMB139,164.9140281,-59.4133461,UCAC4 153-061562,False,13.34-13.46,13.3,13.4,BY?,4.60087,,2458566.2
RMH-HMB140,164.0812243,-58.7952252,UCAC4 157-055591,False,13.41-13.51,13.4,13.5,L,-1,,
RMH-HMB141,165.2302361,-59.0347632,UCAC4 155-061527,False,13.50-13.59,13.5,13.6,?,1.12891,,2458566.49
RMH-HMB142,165.3551121,-59.1135847,UCAC4 155-061740,False,13.95-14.17,13.9,14.2,?,1.11747,,2458565.65
RMH-HMB143,165.3854399,-59.1457666,UCAC4 155-061801,False,14.27-14.42,14.3,14.4,L,-1,,
RMH-HMB144,165.2925126,-58.8389351,UCAC4 156-058123,False,14.41-14.62,14.4,14.6,L,-1,,
RMH-HMB145,165.2154121,-59.3227804,UCAC4 154-060778,False,14.87-15.17,14.9,15.2,L,-1,,
